name,main_category,deadline,goal,launched,year,launched2,pledged,state,backers,usd pledged,usd_pledged_real,usd_goal_real,data_diff_days
#AirMyGlobalWarmingAd,FilmVideo,12/23/17,5500000,12/11/17 8:44,2017,12/11/11 8:44,53793.5,failed,823,4511,53793.5,5500000,12
33 1/3 얻_얻_얻_ House of Dreams | A Jukebox Musical,Theater,1/2/18,150000,11/19/17 22:09,2017,11/19/11 22:09,53910,failed,74,100,53910,150000,44
Swiss Movement Watches without the Luxury Markup,Design,12/17/17,25000,11/16/17 15:44,2017,11/16/11 15:44,959437,successful,3597,503739,959437,25000,31
Critical Thinking Vs. A Post-truth World,FilmVideo,12/13/17,71500,11/15/17 13:46,2017,11/15/11 13:46,29644.76,failed,395,3942.76,29644.76,71500,28
ELBAFLEX 35mm True Analog Camera: History Reloaded,Photography,12/4/17,50000,11/14/17 15:58,2017,11/14/11 15:58,29868,failed,65,27184,29868,50000,20
FINDING KAI - a documentary feature,FilmVideo,12/22/17,61500,11/9/17 6:19,2017,11/9/11 6:19,38989,failed,267,32,38989,61500,43
A Girls Technical School In Sub-Saharan Africa.,Crafts,12/13/17,75000,11/8/17 6:49,2017,11/8/11 6:49,29802,failed,196,75,29802,75000,35
QUARTZ Bottle - Water Purification in a Self-Cleaning Bottle,Technology,12/7/17,30000,11/7/17 13:57,2017,11/7/11 13:57,1374021,successful,12758,56023,1374021,30000,30
"Greatest Hits Revamped: Capture, Slide, and Slide Lite",Design,11/11/17,100000,11/6/17 15:09,2017,11/6/11 15:09,1330583.85,successful,12196,399284.95,1330583.85,100000,5
Rezivot Instant Film Processor,Design,12/17/17,230000,11/2/17 12:02,2017,11/2/11 12:02,57457,failed,232,21868,57457,230000,45
eVscope | 100 times more powerful than a classical telescope,Technology,11/24/17,150000,10/25/17 15:49,2017,10/25/11 15:49,2209270,successful,2144,152451,2209270,150000,30
If Zach Braff can do it...,FilmVideo,12/1/17,100108,10/22/17 17:06,2017,10/22/11 17:06,50886.8,failed,77,10730,50886.8,100108,40
Metropoulos Metro-Plex 50 watt head and combo project,Technology,12/11/17,125000,10/19/17 23:20,2017,10/19/11 23:20,30521,failed,31,366,30521,125000,53
BLINDSIDED by the Walking Dead - BBTWD,Theater,11/18/17,96000,10/19/17 12:03,2017,10/19/11 12:03,30380,failed,99,106,30380,96000,30
"Wiral LITE | The Easy Cable Cam, For Impossible Film Shots",Technology,11/16/17,30000,10/17/17 17:55,2017,10/17/11 17:55,1055480.02,successful,4126,143654.96,1055480.02,30000,30
3Dazer Smart Laser Measurer,Technology,11/15/17,30000,10/16/17 9:20,2017,10/16/11 9:20,27748,failed,57,15,27748,30000,30
Time of Legends: Joan of Arc,Games,11/10/17,100000,10/10/17 21:00,2017,10/10/11 21:00,2152285.02,successful,9987,355231,2152285.02,100000,31
Goliath CNC - An Autonomous Robotic Machine Tool for Makers,Technology,11/18/17,90000,10/3/17 18:11,2017,10/3/11 18:11,1072544,successful,716,197940,1072544,90000,46
EOZ Air - World's Most Advanced True Wireless Earphones,Technology,11/13/17,40000,10/3/17 15:32,2017,10/3/11 15:32,1050200,successful,9099,58172,1050200,40000,41
"THE 7th CONTINENT 얻_얻_얻_ What Goes Up, Must Come Down.",Games,10/19/17,40000,9/26/17 20:00,2017,9/26/11 20:00,7072757,successful,43733,1574139.5,7072757,40000,23
Pimax: The World's First 8K VR Headset,Technology,11/3/17,200000,9/19/17 19:02,2017,9/19/11 19:02,4236618.49,successful,5946,608194,4236618.49,200000,45
The Commuter Collection,Design,11/18/17,80000,9/19/17 16:33,2017,9/19/11 16:33,36096,failed,183,225,36096,80000,60
POWERUP DART - App Controlled Paper Airplane. With Tricks.,Technology,10/18/17,25000,9/12/17 15:30,2017,9/12/11 15:30,1678290,successful,24066,849,1678290,25000,36
KOBRA Flash Modifier System,Technology,10/4/17,125000,9/4/17 17:30,2017,9/4/11 17:30,37296,failed,458,1246,37296,125000,30
Primus 7: Prologue Episode,FilmVideo,9/24/17,125000,8/25/17 20:46,2017,8/25/11 20:46,36315,failed,262,22,36315,125000,30
Brokerage Brewing Company,Food,9/24/17,30000,8/25/17 15:42,2017,8/25/11 15:42,29250,failed,82,6100,29250,30000,30
Table of Ultimate Gaming: The Ultimate Game Table System,Games,9/28/17,25000,8/24/17 17:05,2017,8/24/11 17:05,1237618.76,successful,1457,372108,1237618.76,25000,35
Initiative | Aerospace Business & Mars Colonization Sim,Games,9/22/17,55000,8/22/17 17:50,2017,8/22/11 17:50,42557,failed,787,6712,42557,55000,31
Unstable Unicorns,Games,9/16/17,10000,8/17/17 1:40,2017,8/17/11 1:40,1865140.89,successful,33720,35,1865140.89,10000,30
Cubiio: The Most Compact Laser Engraver,Technology,9/20/17,25000,8/15/17 16:02,2017,8/15/11 16:02,1373680.11,successful,3432,97113,1373680.11,25000,36
The world's first $9 IoT Platform,Technology,9/14/17,38000,8/15/17 11:56,2017,8/15/11 11:56,30658,failed,686,782,30658,38000,30
Reaper Miniatures Bones 4: Mr. Bones EPIC Adventure!,Games,9/3/17,30000,8/1/17 19:01,2017,8/1/11 19:01,3051004.08,successful,16200,577678.66,3051004.08,30000,33
Royelles 얻_얻_얻_ More Than Just a Doll,Design,8/31/17,100000,8/1/17 16:11,2017,8/1/11 16:11,60685,failed,244,8313,60685,100000,30
VALERIE - The Valerie Perrine Documentary,FilmVideo,8/29/17,75000,7/30/17 22:12,2017,7/30/11 22:12,30080,failed,90,1250,30080,75000,30
A Song of Ice & Fire: Tabletop Miniatures Game,Games,8/16/17,300000,7/25/17 21:00,2017,7/25/11 21:00,1690466,successful,9040,596671.02,1690466,300000,22
Algobrix | The Ultimate Coding Learning Game,Technology,9/21/17,50000,7/25/17 16:44,2017,7/25/11 16:44,1153514.23,successful,3696,12980,1153514.23,50000,58
High-Tech Heels & Flats that Feel Like Sneakers Inside,Design,9/3/17,50000,7/25/17 13:37,2017,7/25/11 13:37,1845714,successful,6989,1874,1845714,50000,40
"Metro6, a beautifully made film. Rolling to a stop near you.",FilmVideo,9/2/17,60000,7/25/17 3:19,2017,7/25/11 3:19,47706,failed,146,510,47706,60000,39
Cthulhu Wars Onslaught 3,Games,8/15/17,100000,7/17/17 14:59,2017,7/17/11 14:59,1076211,successful,4130,239119,1076211,100000,29
Ticwatch S & E: A Truly Optimized Smartwatch,Technology,8/18/17,100000,7/11/17 18:58,2017,7/11/11 18:58,3203762,successful,19251,774259,3203762,100000,38
Star Realms Frontiers,Games,8/11/17,100000,7/11/17 17:04,2017,7/11/11 17:04,1100212,successful,12159,290482,1100212,100000,31
Apricoat | A Zero-Compromise Jacket for Adventurers,Design,8/25/17,50000,7/11/17 16:31,2017,7/11/11 16:31,1778861.32,successful,11027,565,1778861.32,50000,45
BACKFIRE- Your Affordable Best Electric Skateboard,Design,7/27/17,100000,6/27/17 2:39,2017,6/27/11 2:39,56859,failed,136,8064,56859,100000,30
"Obsidian 3D Printer: High Quality, Sleek, and Affordable.",Technology,7/29/17,100000,6/26/17 18:29,2017,6/26/11 18:29,1631827,successful,6034,259202,1631827,100000,33
The Cauldron Magical Pub & Inn,Technology,7/25/17,500000,6/26/17 14:01,2017,6/26/11 14:01,37432,failed,265,15788,37432,500000,29
Kickstarter Gold: Safecast bGeigie Raku,Technology,7/12/17,150000,6/21/17 3:07,2017,6/21/11 3:07,47848,failed,121,18861,47848,150000,21
Alpha Glass: First Casual AR Smartglasses for Everyday Life,Technology,8/4/17,100000,6/20/17 22:17,2017,6/20/11 22:17,28987,failed,55,7216,28987,100000,45
Liberty+: The First Zero-Compromise Total-Wireless Earphones,Technology,7/24/17,50000,6/20/17 18:01,2017,6/20/11 18:01,2804475.23,successful,25412,652608,2804475.23,50000,34
Help Kids Help Each Other,FilmVideo,7/20/17,150000,6/20/17 14:30,2017,6/20/11 14:30,28441,failed,78,18345,28441,150000,30
CERO One | Compact Electric Cargo Bike for People and Goods,Design,7/26/17,50000,6/20/17 13:01,2017,6/20/11 13:01,28408.95,failed,41,6133,28408.95,50000,36
Dungeon of Doom: Handcrafted Game Terrain by Dwarven Forge,Games,7/12/17,100000,6/17/17 17:00,2017,6/17/11 17:00,3055118,successful,2897,1397310,3055118,100000,25
Midwest Yoga and Kirtan Fest,Music,8/6/17,75000,6/7/17 18:19,2017,6/7/11 18:19,60022,failed,167,750,60022,75000,60
The 19th Annual Animation Show of Shows,FilmVideo,7/14/17,100000,6/7/17 2:59,2017,6/7/11 2:59,97755.5,failed,635,5024,97755.5,100000,37
Zombicide: Green Horde,Games,6/28/17,300000,5/30/17 20:59,2017,5/30/11 20:59,5004494.58,successful,27235,1242109,5004494.58,300000,29
"TAKU, The Monitor Stand PC Case",Technology,7/28/17,100000,5/29/17 3:40,2017,5/29/11 3:40,48051,failed,138,17223,48051,100000,60
Pastime Public House: Local Fare in an Agreeable Atmosphere,Food,6/25/17,50000,5/26/17 7:27,2017,5/26/11 7:27,28245,failed,79,531,28245,50000,30
SMART BELT - Kevlar얻_ Core Indestructible & Micro Adjustment,Design,7/24/17,5000,5/25/17 15:19,2017,5/25/11 15:19,1174805.13,successful,12229,21273,1174805.13,5000,60
"Arsenal, the intelligent camera assistant",Technology,6/22/17,50000,5/23/17 16:00,2017,5/23/11 16:00,2650310.88,successful,15766,89806,2650310.88,50000,30
Dave Pelz얻_홸s Secrets of GreenReading,Publishing,7/7/17,212000,5/8/17 5:18,2017,5/8/11 5:18,89309,failed,890,250,89309,212000,60
The NOMATIC Backpack and Travel Pack,Design,7/1/17,50000,5/2/17 17:33,2017,5/2/11 17:33,2203254,successful,10573,305588,2203254,50000,60
"Jelly, The Smallest 4G Smartphone",Technology,6/6/17,30000,5/2/17 16:59,2017,5/2/11 16:59,1251380.03,successful,10964,67514,1251380.03,30000,35
Ashes of Creation ~ New MMORPG by Intrepid Studios,Games,6/2/17,750000,5/1/17 18:59,2017,5/1/11 18:59,3271809.31,successful,19576,1019378.44,3271809.31,750000,32
"Newsbud Phase 3, Support a 100% People-Funded Media Outlet",Journalism,6/14/17,115000,4/30/17 7:20,2017,4/30/11 7:20,65568,failed,620,5096,65568,115000,45
"Gravity: The Weighted Blanket for Sleep, Stress and Anxiety",Design,5/31/17,21500,4/26/17 16:46,2017,4/26/11 16:46,4729263.13,successful,23805,477133,4729263.13,21500,35
Infini | The first 3-in-1 Smart Home Hub with Open API,Technology,5/25/17,50000,4/18/17 17:04,2017,4/18/11 17:04,32939,failed,51,1190,32939,50000,37
A Better Way to Charge Your Phone: The AutoDock,Technology,5/16/17,40000,4/13/17 23:50,2017,4/13/11 23:50,30422,failed,513,5835,30422,40000,33
TreeSpirit Project coffee table book,Photography,5/7/17,85000,4/7/17 1:45,2017,4/7/11 1:45,45456,failed,306,0,45456,85000,30
Joyrider,FilmVideo,5/5/17,150000,4/5/17 16:00,2017,4/5/11 16:00,42539,failed,360,5272,42539,150000,30
Gloomhaven (Second Printing),Games,5/2/17,100000,4/4/17 17:59,2017,4/4/11 17:59,3999795.77,successful,40642,1384174.77,3999795.77,100000,28
Pico C - Craft Brewing For All,Food,5/13/17,350000,4/3/17 14:59,2017,4/3/11 14:59,1927217,successful,4301,84991,1927217,350000,40
Ability1: 3D Print Real Metal Parts At Home!,Technology,5/2/17,640000,3/28/17 16:44,2017,3/28/11 16:44,95572.77,failed,105,71684,95572.77,640000,35
"UPRIGHT GO | Fix Your Screen-slouch, Correct Your Posture",Technology,5/11/17,25000,3/28/17 14:31,2017,3/28/11 14:31,1118389.96,successful,13349,140127,1118389.96,25000,44
BETHEL: Transforming a Detroit Gem,Design,4/29/17,100000,3/28/17 12:53,2017,3/28/11 12:53,45754,failed,267,2697,45754,100000,32
ClickPack Pro | The Best Functional Anti-theft BackPack,Design,5/11/17,5000,3/27/17 17:59,2017,3/27/11 17:59,1206178.99,successful,8399,36039,1206178.99,5000,45
ZeTime: World's first smartwatch with hands over touchscreen,Technology,4/27/17,50000,3/23/17 15:46,2017,3/23/11 15:46,5333792.84,successful,26828,559217,5333792.84,50000,35
"Mountain Apparel by 11-Time Everest Summiter, Tendi Sherpa",Fashion,4/21/17,88500,3/22/17 11:38,2017,3/22/11 11:38,58319,failed,105,8566,58319,88500,30
Ra. Lantern - 3-in-1 Radio Connected and GPS Radar Tracker,Technology,4/22/17,80000,3/21/17 12:01,2017,3/21/11 12:01,28316,failed,202,576,28316,80000,32
BED WITH B,Fashion,4/20/17,50000,3/20/17 18:36,2017,3/20/11 18:36,33060,failed,232,6141,33060,50000,31
Superscreen 얻_얻_얻_ Supercharge your phone with a 10.1얻_혷 HD display,Technology,4/20/17,50000,3/20/17 13:15,2017,3/20/11 13:15,2542045.48,successful,18184,218934,2542045.48,50000,31
Snapmaker : The All-Metal 3D Printer,Technology,4/28/17,50000,3/14/17 14:59,2017,3/14/11 14:59,2277182.67,successful,5050,383716.77,2277182.67,50000,45
The Phone for Humans,Technology,4/18/17,500000,3/14/17 14:27,2017,3/14/11 14:27,53080,failed,225,26165,53080,500000,35
Handcrafted Dress Shoes Reinvented for the Modern Gentleman,Fashion,4/27/17,20000,3/14/17 12:43,2017,3/14/11 12:43,1265430.42,successful,4422,339955.15,1265430.42,20000,44
Make Cold Brew Coffee in 15 Minutes,Design,4/29/17,50000,3/9/17 20:14,2017,3/9/11 20:14,36486,failed,486,2456,36486,50000,51
Rising Sun,Games,4/4/17,300000,3/7/17 21:04,2017,3/7/11 21:04,4228060,successful,31262,1627446,4228060,300000,28
Mindset: smart headphones that improve your concentration,Technology,4/5/17,100000,3/1/17 13:49,2017,3/1/11 13:49,1045190.01,successful,3829,170641.01,1045190.01,100000,35
The Most REBELLIOUS Swiss Automatic Watch Ever - LIV Watches,Design,3/30/17,30000,2/28/17 18:51,2017,2/28/11 18:51,1703914.77,successful,2909,522865.77,1703914.77,30000,30
Skycamp: The Perfect Roof Top Tent for Travelers on the Road,Design,4/13/17,100000,2/27/17 17:00,2017,2/27/11 17:00,2370611,successful,956,1461404,2370611,100000,45
RUAWALK: The First Music-Guided Walking Tempo Controller,Technology,3/31/17,30000,2/23/17 13:00,2017,2/23/11 13:00,28347,failed,110,1291,28347,30000,36
GKR: Heavy Hitters,Games,3/25/17,100000,2/22/17 18:10,2017,2/22/11 18:10,935010,successful,6598,67057,935010,100000,31
"Join NOVA: Make ""Beyond the Elements""",FilmVideo,3/11/17,200000,2/14/17 20:23,2017,2/14/11 20:23,177705,failed,1793,27756,177705,200000,25
Mini Museum 3: The Third Edition,Art,3/9/17,200000,2/7/17 22:00,2017,2/7/11 22:00,1003874,successful,3290,710566,1003874,200000,30
TABULA IDEM: A Queer Tarot Comic Anthology,Comics,3/9/17,44000,2/7/17 18:59,2017,2/7/11 18:59,29872,failed,681,5977,29872,44000,30
Dride - Connected Dashcam with Safety Alerts & Apps.,Technology,3/8/17,100000,2/6/17 17:00,2017,2/6/11 17:00,37255,failed,229,5101,37255,100000,30
"SELFLY Camera: The smart, flying, phone case camera",Technology,3/10/17,125000,1/24/17 14:44,2017,1/24/11 14:44,1048262,successful,8340,31085,1048262,125000,45
The Orlando Tech Community,Technology,2/17/17,165000,1/18/17 15:32,2017,1/18/11 15:32,47554,failed,223,17305,47554,165000,30
The World of SMOG: Rise of Moloch,Games,2/3/17,70000,1/17/17 21:00,2017,1/17/11 21:00,1174130.1,successful,7892,491982,1174130.1,70000,17
The Children of 1917,FilmVideo,2/16/17,46000,1/17/17 16:22,2017,1/17/11 16:22,32441,failed,292,6768,32441,46000,30
We the People: public art for the inauguration and beyond,Art,1/19/17,60000,1/11/17 0:21,2017,1/11/11 0:21,1364835.45,successful,22834,95247,1364835.45,60000,8
The first personal trainer and diet coach for your dog!,Technology,2/20/17,95000,1/5/17 17:38,2017,1/5/11 17:38,40079,failed,110,0,40079,95000,46
Steadicam Volt Smartphone Stabilizer | Shake-Free Videos,Technology,3/6/17,100000,1/5/17 1:22,2017,1/5/11 1:22,1111638,successful,6203,19352,1111638,100000,60
Project Expanda-2nd Monitor for your laptop (Solar Powered),Technology,1/29/17,70000,12/15/16 22:43,2016,12/15/11 22:43,44355,failed,295,15970,44355,70000,45
Small Transparent Speaker,Design,1/21/17,250000,12/7/16 14:58,2016,12/7/11 14:58,131637,failed,476,45627,131637,250000,45
HyperDrive얻_얻_ Compact Thunderbolt 3 USB-C Hub for MacBook Pro,Design,1/17/17,100000,12/5/16 17:00,2016,12/5/11 17:00,1842141.69,successful,20680,159015,1842141.69,100000,43
Kingdom Death: Monster 1.5,Games,1/8/17,100000,11/25/16 6:01,2016,11/25/11 6:01,12393139.69,successful,19264,5228482,12393139.69,100000,44
FlowMotion Smartphone Stabilizer | The End of Shaky Videos,Technology,1/10/17,30000,11/22/16 18:05,2016,11/22/11 18:05,1325241,successful,5508,61578,1325241,30000,49
Voccell DLS - Complete Laser Cutter & Engraver System,Technology,12/21/16,52480,11/21/16 15:13,2016,11/21/11 15:13,49273,failed,19,3789,49273,52480,30
IZMOJUKI Probe 20WT 1/12 Toy,Art,12/18/16,50000,11/18/16 19:30,2016,11/18/11 19:30,49191,failed,315,23519,49191,50000,30
The Rocketbook Everlast Notebook,Technology,1/15/17,26000,11/16/16 16:21,2016,11/16/11 16:21,1823227.5,successful,28138,16942,1823227.5,26000,60
Mythic Battles: Pantheon,Games,12/1/16,80000,11/1/16 20:00,2016,11/1/11 20:00,2669009.65,successful,13635,545109,2669009.65,80000,30
Lifeclock One: The Escape from New York Inspired Smartwatch,Technology,12/8/16,200000,11/1/16 17:01,2016,11/1/11 17:01,115297.5,failed,336,72377.5,115297.5,200000,37
ToneX - The Resistance Workout Vest,Design,12/30/16,50000,11/1/16 15:01,2016,11/1/11 15:01,48146,failed,404,19055,48146,50000,59
TANKY DRONE: Insanely Fast FPV Racing Quadcopter,Technology,12/9/16,150000,10/25/16 18:57,2016,10/25/11 18:57,121668,failed,183,60391,121668,150000,45
Vue: Your Everyday Smart Glasses,Design,12/10/16,50000,10/25/16 16:53,2016,10/25/11 16:53,2215583,successful,10410,58819,2215583,50000,46
New55 COLOR 4x5 Peelapart Film,Photography,11/18/16,400000,10/20/16 15:26,2016,10/20/11 15:26,137350.5,failed,805,23148,137350.5,400000,29
The Native Tongue Posse Documentary,FilmVideo,11/18/16,48000,10/18/16 22:29,2016,10/18/11 22:29,45136.5,failed,429,4558,45136.5,48000,31
Bears vs Babies - A Card Game,Games,11/18/16,10000,10/18/16 18:59,2016,10/18/11 18:59,3215679.79,successful,85581,1231455.6,3215679.79,10000,31
Deep Madness,Games,11/11/16,100000,10/14/16 17:59,2016,10/14/11 17:59,1438293.52,successful,9566,376165.52,1438293.52,100000,28
Together In This: The Documentary,FilmVideo,11/11/16,141693,10/12/16 0:16,2016,10/12/11 0:16,117778,failed,251,2605,117778,141693,30
The Big Bachi Film,FilmVideo,11/4/16,100000,10/5/16 21:04,2016,10/5/11 21:04,51960,failed,363,10325,51960,100000,30
Float The Boat - Save Mayflower II!,Design,11/17/16,250000,10/3/16 19:14,2016,10/3/11 19:14,103169,failed,760,25435,103169,250000,45
Solo Stove Bonfire | The World's Most Unique Fire Pit,Design,10/26/16,15000,9/26/16 16:18,2016,9/26/11 16:18,1176641,successful,4953,42295,1176641,15000,30
Sisyphus 얻_얻_얻_ The Kinetic Art Table,Art,10/24/16,50000,9/24/16 19:00,2016,9/24/11 19:00,1924018,successful,1992,101746,1924018,50000,30
Purple얻_ Pillow: The World's First No-Pressure Head Bed,Technology,10/22/16,25000,9/22/16 15:30,2016,9/22/11 15:30,2640852.5,successful,17733,9797,2640852.5,25000,30
Voyager Golden Record: 40th Anniversary Edition,Music,10/21/16,198000,9/21/16 5:18,2016,9/21/11 5:18,1363037,successful,10768,83265,1363037,198000,30
Voyage of Fortune's Star 얻_얻_얻_ a 7th Sea cRPG,Games,10/24/16,200000,9/20/16 16:00,2016,9/20/11 16:00,74847,failed,1287,321,74847,200000,34
Virginia Dare Dress Co. | The dresses we've been looking for,Fashion,10/16/16,60000,9/14/16 21:31,2016,9/14/11 21:31,44805,failed,273,2385,44805,60000,32
LVL 얻_얻_얻_ The First Wearable Hydration Monitor,Technology,10/27/16,50000,9/13/16 16:01,2016,9/13/11 16:01,1186983,successful,7501,85047,1186983,50000,44
{THE AND} Global Relationship Project,FilmVideo,10/13/16,200000,9/13/16 1:23,2016,9/13/11 1:23,47317.38,failed,830,1237,47317.38,200000,30
The First Desktop Waterjet Cutter,Technology,11/11/16,100000,9/12/16 13:57,2016,9/12/11 13:57,1331936.91,successful,1301,193881.66,1331936.91,100000,60
ADV3NTURE HOODIE with 23 Pockets and Features!,Fashion,10/13/16,25000,9/7/16 15:08,2016,9/7/11 15:08,1851033,successful,13363,97817,1851033,25000,36
Sgnl - Make Phone Calls with Your Fingertip,Technology,10/8/16,50000,8/31/16 16:00,2016,8/31/11 16:00,1469202,successful,8117,25284,1469202,50000,38
Fidget Cube: A Vinyl Desk Toy,Design,10/20/16,15000,8/30/16 22:02,2016,8/30/11 22:02,6465690.3,successful,154926,13770,6465690.3,15000,51
Karmic Kyoto,Technology,9/24/16,249000,8/23/16 16:45,2016,8/23/11 16:45,60442,failed,68,21933,60442,249000,32
Hudly: Full Color Heads-Up Display for All Cars & Phone Apps,Technology,9/19/16,100000,8/18/16 9:07,2016,8/18/11 9:07,47051,failed,259,8979,47051,100000,32
CARSON RODIZIO ROADCASE,Design,8/22/16,100000,8/2/16 16:24,2016,8/2/11 16:24,52129,failed,83,12783,52129,100000,20
Peak Smart Lamp 얻_얻_얻_ Grow Daily,Design,8/31/16,50000,8/1/16 9:11,2016,8/1/11 9:11,44304,failed,314,10645,44304,50000,30
"Bendy, A tripod for Vloggers",Technology,8/26/16,60000,7/27/16 0:30,2016,7/27/11 0:30,40437,failed,391,15351,40437,60000,30
Ticwatch 2: The Most Interactive Smartwatch,Technology,8/25/16,50000,7/26/16 15:01,2016,7/26/11 15:01,2085491,successful,9955,115283,2085491,50000,30
The Superbook: Turn your smartphone into a laptop for $99,Technology,8/20/16,50000,7/21/16 17:15,2016,7/21/11 17:15,2952508.59,successful,16732,301498,2952508.59,50000,30
TANKY: World's Fastest Production Drone,Technology,8/19/16,225000,7/20/16 9:30,2016,7/20/11 9:30,50601,failed,105,22737,50601,225000,30
The NOMATIC Travel Bag,Design,9/2/16,20000,7/19/16 18:46,2016,7/19/11 18:46,1725336,successful,9067,387330,1725336,20000,45
The Purpose Hotel: Change the World in Your Sleep,Design,9/3/16,2000000,7/19/16 16:25,2016,7/19/11 16:25,757352.94,failed,5338,15183,757352.94,2000000,46
"The Everyday Backpack, Tote, and Sling",Design,9/10/16,500000,7/13/16 0:47,2016,7/13/11 0:47,6565782.5,successful,26359,1462611,6565782.5,500000,59
Zafirro. Sapphire Blade Razor.,Technology,8/10/16,1000000,7/11/16 17:00,2016,7/11/11 17:00,431484,failed,3404,51347,431484,1000000,30
FireFlies - Truly Wire-Free Earbuds - Music Without Limits!,Technology,8/4/16,20000,7/5/16 16:42,2016,7/5/11 16:42,1115031.05,successful,11360,77489.3,1115031.05,20000,30
NuAns NEO Windows 10 Mobile,Technology,8/9/16,725000,7/1/16 9:05,2016,7/1/11 9:05,142368,failed,489,114995,142368,725000,39
Bagel: The World's Smartest Tape Measure,Technology,8/3/16,30000,6/29/16 11:41,2016,6/29/11 11:41,1353798,successful,10766,441755,1353798,30000,35
System Shock,Games,7/28/16,900000,6/28/16 21:02,2016,6/28/11 21:02,1350700.17,successful,21625,831427.54,1350700.17,900000,30
Eyes of Mercy,FilmVideo,8/4/16,320000,6/23/16 18:01,2016,6/23/11 18:01,91433,failed,587,44408,91433,320000,42
ZUNGLE : Wear the Beats,Design,7/16/16,50000,6/16/16 16:41,2016,6/16/11 16:41,1947035,successful,11349,207044,1947035,50000,30
Perigon HD Digital Mirror: Drive safer with no blind spots,Technology,7/16/16,100000,6/16/16 16:01,2016,6/16/11 16:01,47893,failed,180,37365,47893,100000,30
