name,main_category,deadline,goal,launched,year,launched2,pledged,state,backers,usd pledged,usd_pledged_real,usd_goal_real,data_diff_days
COSMOS - constellation clock speaker,Design,7/14/16,95000,6/14/16 19:39,2016,6/14/11 19:39,42642,failed,289,40938,42642,95000,30
The Duchess - A Gaming Table from BoardGameTables.com,Games,7/13/16,40000,6/9/16 15:43,2016,6/9/11 15:43,2592231.77,successful,3364,1570447.77,2592231.77,40000,34
Massive Darkness,Games,7/8/16,200000,6/7/16 21:02,2016,6/7/11 21:02,3560642.66,successful,22361,3560642.66,3560642.66,200000,31
the P22 pen,Design,7/22/16,66500,6/7/16 16:51,2016,6/7/11 16:51,43849,failed,169,19796,43849,66500,45
Vi. The First True Artificial Intelligence Personal Trainer,Design,7/20/16,100000,6/1/16 16:32,2016,6/1/11 16:32,1688179.6,successful,7257,1003418.6,1688179.6,100000,49
"Pebble 2, Time 2 + All-New Pebble Core",Design,6/30/16,1000000,5/24/16 15:49,2016,5/24/11 15:49,12779843.49,successful,66673,12779843.49,12779843.49,1000000,37
"Taga 2.0 - The Ultimate, Most Affordable Family Bike",Design,7/17/16,100000,5/18/16 16:44,2016,5/18/11 16:44,2568586,successful,2323,2018151,2568586,100000,60
Knocki: Make Any Surface Smart,Technology,7/2/16,35000,5/17/16 14:49,2016,5/17/11 14:49,1144399.78,successful,8897,1144399.78,1144399.78,35000,46
Nura: Headphones that learn and adapt to your unique hearing,Technology,7/15/16,100000,5/16/16 4:56,2016,5/16/11 4:56,1803988.56,successful,7730,1161822.01,1803988.56,100000,60
"Million Dollars, But... The Game",Games,6/10/16,10000,5/11/16 19:01,2016,5/11/11 19:01,1353024.46,successful,30546,1353024.46,1353024.46,10000,30
Poppits Toothpaste Pods,Design,6/8/16,50000,5/9/16 18:17,2016,5/9/11 18:17,40924,failed,780,40924,40924,50000,30
Chronicles of Elyria - Epic Story MMORPG with Aging & Death,Games,6/3/16,900000,5/3/16 21:00,2016,5/3/11 21:00,1361435.35,successful,10752,1361435.35,1361435.35,900000,31
GeoOrbital Wheel | Make your bike electric in 60 seconds,Technology,6/15/16,75000,5/1/16 22:54,2016,5/1/11 22:54,1261222.7,successful,1623,1261222.7,1261222.7,75000,45
"The GoBoat. Personal, Portable Watercraft",Design,6/2/16,338000,4/28/16 13:51,2016,4/28/11 13:51,295014,failed,774,295014,295014,338000,35
XTH Sense얻_얻_ - The world얻_홸s first biocreative instrument.,Technology,5/26/16,80000,4/26/16 12:43,2016,4/26/11 12:43,48198,failed,257,48198,48198,80000,30
"Higgy: Your Real Person, Travel Advisor and Agent App",Technology,5/21/16,400000,4/21/16 22:14,2016,4/21/11 22:14,42975,failed,20,42975,42975,400000,30
Tak: A Beautiful Game,Games,5/21/16,50000,4/19/16 21:00,2016,4/19/11 21:00,1351142.23,successful,12187,1351142.23,1351142.23,50000,32
"Noria: Cool, redefined.",Design,6/4/16,250000,4/19/16 6:02,2016,4/19/11 6:02,1468736.88,successful,3715,1468736.88,1468736.88,250000,46
Help the National Museum of Psychology #KickstartHistory,Design,5/13/16,250000,4/13/16 21:00,2016,4/13/11 21:00,85037,failed,415,85037,85037,250000,30
J. Peterman presents ... the Urban Sombrero (and more!),Fashion,5/21/16,500000,4/11/16 16:05,2016,4/11/11 16:05,100993.5,failed,720,100993.5,100993.5,500000,40
Convertible HDL: Voice Activated Headlamp & Action Camera,Technology,5/7/16,50000,4/4/16 14:02,2016,4/4/11 14:02,42976,failed,114,42976,42976,50000,33
TRINUS - The Affordable All-Metal 3D Printer,Technology,4/30/16,50000,3/30/16 22:00,2016,3/30/11 22:00,1621021.49,successful,3147,1621021.49,1621021.49,50000,31
"Sp얻__n - Calorie-Counting, Nutrition Tracking Utensils (Spun)",Technology,4/29/16,150000,3/30/16 16:12,2016,3/30/11 16:12,144453,failed,159,144453,144453,150000,30
License to Parent,FilmVideo,4/29/16,75000,3/30/16 15:17,2016,3/30/11 15:17,43173,failed,142,43173,43173,75000,30
LAMPO: Brilliant design packed in a tube.,Design,4/23/16,60000,3/24/16 16:33,2016,3/24/11 16:33,41564,failed,140,41564,41564,60000,30
Dai-Shogun 얻_얻_얻_ The Great VR Animation Revolution,FilmVideo,4/23/16,200000,3/24/16 2:00,2016,3/24/11 2:00,44988,failed,363,44988,44988,200000,30
SpeedX Leopard | the first ever smart aero road bike,Technology,4/22/16,50000,3/23/16 15:01,2016,3/23/11 15:01,2319876,successful,1251,2319876,2319876,50000,30
OLO - The First Ever Smartphone 3D Printer.,Technology,4/20/16,80000,3/21/16 18:18,2016,3/21/11 18:18,2321811.02,successful,16180,2321811.02,2321811.02,80000,30
"Who the F*@% is Frank Zappa (Save the Vault, Tell the Story)",FilmVideo,4/9/16,500000,3/8/16 17:40,2016,3/8/11 17:40,1126036.89,successful,8688,1126036.89,1126036.89,500000,32
Cubetto - Hands on coding for ages 3 and up,Technology,4/7/16,100000,3/8/16 11:51,2016,3/8/11 11:51,1596457.66,successful,6553,1596457.66,1596457.66,100000,30
"The Field Skillet: Lighter, Smoother Cast Iron",Food,4/7/16,30000,3/7/16 2:25,2016,3/7/11 2:25,1633361.53,successful,12553,1633361.53,1633361.53,30000,31
Dwarven Forge's Castles: 3-D Modular Terrain for Gamers,Games,3/31/16,100000,3/6/16 17:00,2016,3/6/11 17:00,1781736.52,successful,1688,1781736.52,1781736.52,100000,25
LIME SMART LOCK,Technology,4/15/16,65000,3/1/16 22:00,2016,3/1/11 22:00,46974,failed,317,46974,46974,65000,45
"Cerberus by Kimera Industries: The 18L, mATX, US-made case",Technology,4/1/16,150000,3/1/16 16:28,2016,3/1/11 16:28,56365,failed,186,56365,56365,150000,31
OSSIC X: The first 3D audio headphones calibrated to you,Technology,4/21/16,100000,2/23/16 9:07,2016,2/23/11 9:07,2708472.39,successful,10263,2708472.39,2708472.39,100000,58
"Support a 100% people-funded, nonpartisan online news source",Journalism,4/14/16,950000,2/14/16 7:57,2016,2/14/11 7:57,194635.65,failed,1792,194635.65,194635.65,950000,60
Big Ant Dirt Track Racing,Games,3/13/16,266000,2/12/16 2:04,2016,2/12/11 2:04,78979.96,failed,802,78979.96,78979.96,266000,30
Beastmaster and Prince -Flower and Snow-,Games,3/12/16,150000,2/10/16 21:03,2016,2/10/11 21:03,74294,failed,1091,74294,74294,150000,31
To Err Is Human: A Patient Safety Documentary,FilmVideo,3/11/16,125000,2/10/16 16:52,2016,2/10/11 16:52,54155,failed,120,54155,54155,125000,30
Joking Hazard,Games,3/10/16,10000,2/9/16 18:00,2016,2/9/11 18:00,3246588.55,successful,63758,3246588.55,3246588.55,10000,30
Sentinels of the Multiverse: OblivAeon,Games,3/11/16,40000,2/9/16 17:00,2016,2/9/11 17:00,1518321.61,successful,9982,1518321.61,1518321.61,40000,31
7th Sea: Second Edition,Games,3/14/16,30000,2/9/16 15:30,2016,2/9/11 15:30,1316813,successful,11483,1316813,1316813,30000,34
A Little Magic: The Trish & Cinnar Story,FilmVideo,3/21/16,2000000,2/4/16 20:36,2016,2/4/11 20:36,45540,failed,123,45540,45540,2000000,46
DUNE CASE: Mini-ITX PC Case w/ Superior Thermal Dynamics,Technology,3/17/16,130000,2/1/16 16:06,2016,2/1/11 16:06,75283.5,failed,491,75283.5,75283.5,130000,45
ACTREK: THE WORLD얻_홸S FIRST SMART FITNESS WEARABLE,Technology,3/21/16,100000,1/21/16 20:37,2016,1/21/11 20:37,61250.43,failed,237,61250.43,61250.43,100000,60
Redefining Swiss Automatic Watches by LIV,Design,2/19/16,40000,1/20/16 21:00,2016,1/20/11 21:00,1119029.85,successful,2169,1119029.85,1119029.85,40000,30
Prepd Pack - The Lunchbox Reimagined,Food,2/26/16,25000,1/19/16 17:56,2016,1/19/11 17:56,1439098.99,successful,12557,1439098.99,1439098.99,25000,38
Innovative Sneaker For the World얻_홸s Greatest Coach,Fashion,2/17/16,100000,1/19/16 9:06,2016,1/19/11 9:06,71334,failed,213,71334,71334,100000,29
Litter Loo,Design,2/6/16,50000,1/6/16 16:31,2016,1/6/11 16:31,45770.22,failed,215,45770.22,45770.22,50000,31
"PINE A64, First $15 64-Bit Single Board Super Computer",Technology,1/23/16,31416,12/9/15 12:44,2015,12/9/11 12:44,1731465.98,successful,36781,1731465.98,1731465.98,31416,45
BANGLASIA Movie by Namewee ????????????,FilmVideo,1/17/16,500000,12/8/15 17:08,2015,12/8/11 17:08,186468.42,failed,4435,186468.42,186468.42,500000,40
Producer Box,Technology,12/31/15,500000,11/27/15 11:02,2015,11/27/11 11:02,231190,failed,413,231190,231190,500000,34
Secret Hitler,Games,12/23/15,54450,11/23/15 20:51,2015,11/23/11 20:51,1479046.95,successful,34565,1479046.95,1479046.95,54450,30
The Rever: A fun and flexible way to enjoy 3D printing,Technology,12/23/15,120000,11/23/15 19:32,2015,11/23/11 19:32,80760,failed,273,80760,80760,120000,30
THESMARTVENT   Save $ Low cost zonal control for your home!,Technology,12/20/15,100000,11/20/15 21:39,2015,11/20/11 21:39,63000,failed,69,63000,63000,100000,30
BoardSeat - Who's On Your Board?,Technology,12/13/15,175000,11/17/15 12:44,2015,11/17/11 12:44,58369,failed,216,58369,58369,175000,26
Arcadia Quest: Inferno,Games,12/9/15,100000,11/16/15 21:00,2015,11/16/11 21:00,1710713.62,successful,9991,1710713.62,1710713.62,100000,23
Bring Back MYSTERY SCIENCE THEATER 3000,FilmVideo,12/12/15,2000000,11/10/15 16:49,2015,11/10/11 16:49,5764229.38,successful,48270,5764229.38,5764229.38,2000000,32
"""Don't Cuddle the Krampus"" Retro 80's Toy Line",Design,12/10/15,70000,11/10/15 14:52,2015,11/10/11 14:52,66571,failed,541,66571,66571,70000,30
The Lampster | A Lamp with Attitude,Design,12/21/15,30000,11/9/15 17:27,2015,11/9/11 17:27,1327559,successful,6148,1327559,1327559,30000,42
Revols - Premium Quick Custom-Fit Wireless Earphones,Technology,1/8/16,100000,11/9/15 13:57,2015,11/9/11 13:57,2530756.27,successful,10569,2530756.27,2530756.27,100000,60
kGoal Boost: Smart Kegels For Men,Technology,1/3/16,100000,11/4/15 19:13,2015,11/4/11 19:13,72571,failed,794,72571,72571,100000,60
Ripple: The Most Advanced Solar Watch Strap for Pebble Time.,Technology,12/12/15,80000,10/28/15 17:01,2015,10/28/11 17:01,56960,failed,696,56960,56960,80000,45
Pico - Craft Beer at Home,Design,12/1/15,200000,10/26/15 14:07,2015,10/26/11 14:07,1403359,successful,1898,1403359,1403359,200000,36
Bringing the World's Greatest Art to Blind People.,Technology,12/10/15,500000,10/26/15 4:56,2015,10/26/11 4:56,104621,failed,85,104621,104621,500000,45
Clear Food: The World's First Molecular Food Guide,Food,11/21/15,100000,10/22/15 17:52,2015,10/22/11 17:52,86839,failed,301,86839,86839,100000,30
Super Dungeon Explore: Legends,Games,11/11/15,80000,10/21/15 20:59,2015,10/21/11 20:59,1290522.32,successful,6611,1290522.32,1290522.32,80000,21
CHUYA-DEN - The Night and Day Chronicles,FilmVideo,11/14/15,100000,10/15/15 17:02,2015,10/15/11 17:02,81642,failed,250,81642,81642,100000,30
G-RO: Revolutionary Carry-on Luggage,Design,12/13/15,125000,10/14/15 19:00,2015,10/14/11 19:00,3307773.49,successful,8744,3307773.49,3307773.49,125000,60
BLOCKS - The World's First Modular Smartwatch,Technology,11/20/15,250000,10/13/15 17:55,2015,10/13/11 17:55,1613874,successful,5063,1613874,1613874,250000,38
Scythe,Games,11/6/15,33000,10/13/15 16:29,2015,10/13/11 16:29,1810294.7,successful,17739,1810294.7,1810294.7,33000,24
The World's First Heated Down Jacket w/ 6X Mobile Charging,Technology,11/30/15,100000,10/1/15 6:51,2015,10/1/11 6:51,1330293.33,successful,6480,1330293.33,1330293.33,100000,60
BATTLETECH,Games,11/3/15,250000,9/29/15 18:59,2015,9/29/11 18:59,2785537.13,successful,41733,2785537.13,2785537.13,250000,35
Muv-Luv: A Pretty Sweet Visual Novel Series,Games,11/3/15,250000,9/24/15 20:54,2015,9/24/11 20:54,1255444,successful,7890,1255444,1255444,250000,40
MEATER: The First Truly Wireless Smart Meat Thermometer,Food,10/22/15,100000,9/22/15 15:24,2015,9/22/11 15:24,1251486,successful,9737,1251486,1251486,100000,30
Obi - A Smart Laser Toy for Cats,Design,10/22/15,120000,9/21/15 16:39,2015,9/21/11 16:39,58443,failed,693,58443,58443,120000,31
Hoverboard: The Next Evolution in Personal Electric Mobility,Technology,10/22/15,500000,9/17/15 16:39,2015,9/17/11 16:39,257275,failed,239,257275,257275,500000,35
Sondors Electric Bike - Most Affordable eBike. Ever.,Technology,10/17/15,75000,9/17/15 13:52,2015,9/17/11 13:52,1354793.97,successful,1996,1354793.97,1354793.97,75000,30
Aberford: A video game of zombies and 50's housewives,Games,10/19/15,675000,9/15/15 15:59,2015,9/15/11 15:59,103834,failed,2209,103834,103834,675000,34
HiddenHUB | Wireless HD Audio Meets Timeless Design,Design,11/12/15,200000,9/14/15 18:49,2015,9/14/11 18:49,1239639.99,successful,2698,1239639.99,1239639.99,200000,59
The Others: 7 Sins,Games,10/7/15,100000,9/10/15 20:59,2015,9/10/11 20:59,1464489.52,successful,10136,1464489.52,1464489.52,100000,27
Zyntony Torch얻_얻_: Baddest Light on the Planet!,Technology,10/10/15,235000,9/10/15 19:01,2015,9/10/11 19:01,136147,failed,666,136147,136147,235000,30
Robin. The smarter smartphone.,Technology,10/1/15,500000,9/1/15 15:45,2015,9/1/11 15:45,1362343.49,successful,3611,1362343.49,1362343.49,500000,30
Bruvelo. Simplify and elevate your coffee.,Design,10/30/15,975000,9/1/15 15:37,2015,9/1/11 15:37,528921,failed,1832,528921,528921,975000,59
SHALLOW WATER: terror runs deep...,FilmVideo,10/16/15,550000,9/1/15 7:55,2015,9/1/11 7:55,232727,failed,744,232727,232727,550000,45
Divinity: Original Sin 2,Games,9/30/15,500000,8/26/15 14:55,2015,8/26/11 14:55,2032434.63,successful,42713,2032434.63,2032434.63,500000,35
PUGZ-World's smallest wireless earbuds charged through phone,Technology,10/9/15,50000,8/26/15 12:21,2015,8/26/11 12:21,1433779.1,successful,10119,1433779.1,1433779.1,50000,44
"Nebia Shower - Better experience, 70% less water",Design,9/11/15,100000,8/11/15 6:27,2015,8/11/11 6:27,3126114.96,successful,8559,3126114.96,3126114.96,100000,31
BedJet v2: Sleep inducing climate control just for your Bed,Technology,9/13/15,24000,8/5/15 19:06,2015,8/5/11 19:06,1363381,successful,4023,1363381,1363381,24000,39
Phosphorescence,FilmVideo,8/28/15,100000,7/30/15 16:00,2015,7/30/11 16:00,71032,failed,349,71032,71032,100000,29
MindStream Aquarium Monitor,Technology,9/7/15,300000,7/27/15 13:48,2015,7/27/11 13:48,138920.01,failed,242,138920.01,138920.01,300000,42
The Everyday Messenger: A Bag For Cameras & Essential Carry,Design,9/21/15,100000,7/23/15 0:04,2015,7/23/11 0:04,4869472.2,successful,17029,4869472.2,4869472.2,100000,60
Remix Mini - The World's First True Android PC.,Technology,8/29/15,50000,7/15/15 14:55,2015,7/15/11 14:55,1647155.12,successful,21975,1647155.12,1647155.12,50000,45
Reaper Miniatures Bones 3: The Search for Mr. Bones!,Games,7/26/15,30000,7/7/15 17:00,2015,7/7/11 17:00,2730365.57,successful,13465,2730365.57,2730365.57,30000,19
The World's Best TRAVEL JACKET with 15 Features || BAUBAX,Design,9/3/15,20000,7/7/15 13:52,2015,7/7/11 13:52,9192055.66,successful,44949,9192055.66,9192055.66,20000,58
RED ASH - The Indelible Legend,Games,8/3/15,800000,7/4/15 20:30,2015,7/4/11 20:30,519999.59,failed,6550,519999.59,519999.59,800000,30
Silk by Saffron - Smart LED Lighting - Bring Sunlight Inside,Technology,8/7/15,100000,6/23/15 16:41,2015,6/23/11 16:41,61917.59,failed,674,61917.59,61917.59,100000,45
Floating Record얻_얻_ Vertical Turntable,Design,7/28/15,50000,6/23/15 15:00,2015,6/23/11 15:00,1575976,successful,4218,1575976,1575976,50000,35
Shenmue 3,Games,7/18/15,2000000,6/16/15 3:51,2015,6/16/11 3:51,6333295.77,successful,69320,6333295.77,6333295.77,2000000,32
Nikola Labs: Leading the Charge in Wireless Power,Technology,7/22/15,135000,6/10/15 21:51,2015,6/10/11 21:51,76709,failed,752,76709,76709,135000,42
Free Community Walk-In Movie Theater in San Francisco,Design,7/16/15,150000,6/9/15 22:43,2015,6/9/11 22:43,81049,failed,215,81049,81049,150000,37
Zombicide: Black Plague,Games,7/7/15,125000,6/8/15 20:59,2015,6/8/11 20:59,4079204.52,successful,20915,4079204.52,4079204.52,125000,29
The Bards Tale IV,Games,7/11/15,1250000,6/2/15 14:57,2015,6/2/11 14:57,1519680.86,successful,33741,1519680.86,1519680.86,1250000,39
Eedu얻_얻_ - An easy educational drone kit for learning robotics!,Technology,7/1/15,100000,6/1/15 9:04,2015,6/1/11 9:04,55839,failed,123,55839,55839,100000,30
THE POLYBIUS CONSPIRACY,FilmVideo,6/11/15,100000,5/19/15 9:02,2015,5/19/11 9:02,73107,failed,359,73107,73107,100000,23
Enormous: The Gorge Story (Documentary),FilmVideo,6/18/15,80000,5/18/15 21:11,2015,5/18/11 21:11,55563,failed,244,55563,55563,80000,31
LightSail: A Revolutionary Solar Sailing Spacecraft,Technology,6/26/15,200000,5/12/15 14:54,2015,5/12/11 14:54,1241615.13,successful,23331,1241615.13,1241615.13,200000,45
Bloodstained: Ritual of the Night,Games,6/13/15,500000,5/11/15 18:58,2015,5/11/11 18:58,5545991.7,successful,64867,5545991.7,5545991.7,500000,33
The ultimate sleep sanctuary: Kokoon EEG headphones,Design,7/10/15,100000,5/11/15 17:00,2015,5/11/11 17:00,1936825,successful,8489,1936825,1936825,100000,60
Rockioo Watch - Awesome smartwatch for exercise enthusiasts,Technology,6/7/15,200000,5/8/15 9:32,2015,5/8/11 9:32,74052,failed,204,74052,74052,200000,30
CHIP - The World's First Nine Dollar Computer,Technology,6/6/15,50000,5/7/15 17:06,2015,5/7/11 17:06,2071927.56,successful,39560,2071927.56,2071927.56,50000,30
STARFIGHTER INC.,Games,6/7/15,250000,5/5/15 14:59,2015,5/5/11 14:59,226831.52,failed,5389,226831.52,226831.52,250000,33
"""We Need To Get The Truth Out"" 얻_얻_얻_ Ron Paul",FilmVideo,6/4/15,285000,5/5/15 0:24,2015,5/5/11 0:24,83170,failed,512,83170,83170,285000,30
Star Trek: Captain Pike,FilmVideo,6/3/15,112000,5/4/15 17:56,2015,5/4/11 17:56,77010,failed,655,77010,77010,112000,30
PhoneDrone: Let your smartphone be your personal drone.,Technology,6/11/15,250000,4/27/15 19:17,2015,4/27/11 19:17,122876,failed,573,122876,122876,250000,45
"Radical, Revolutionary, Rutan. Now fly your own SpaceShipOne",Technology,5/26/15,220000,4/21/15 10:33,2015,4/21/11 10:33,112126,failed,611,112126,112126,220000,35
Barracuda: Collapsible Luggage + Tray + GPS + USB Charger,Design,5/29/15,20000,4/14/15 11:44,2015,4/14/11 11:44,1252222,successful,3397,1252222,1252222,20000,45
Sideclick: Streamline Your Streaming Experience,Technology,5/22/15,150000,4/7/15 2:34,2015,4/7/11 2:34,109308,failed,2620,109308,109308,150000,45
The Maple Parlor -Do You Know What's In Your Soft Serve?,Food,5/2/15,75000,4/2/15 18:33,2015,4/2/11 18:33,59421,failed,169,59421,59421,75000,30
Tiko - The Unibody 3D Printer,Technology,4/30/15,100000,3/30/15 19:02,2015,3/30/11 19:02,2950874.77,successful,16538,2950874.77,2950874.77,100000,31
Protecting Liberty,FilmVideo,4/29/15,225000,3/30/15 18:01,2015,3/30/11 18:01,78117,failed,982,78117,78117,225000,30
MAGZET: The Audio Jack Reinvented with the Power of Magnets,Technology,5/2/15,294000,3/24/15 2:53,2015,3/24/11 2:53,150670,failed,2391,150670,150670,294000,39
HeavenQuest: A Pilgrim's Progress Movie,FilmVideo,4/22/15,1200000,3/23/15 5:01,2015,3/23/11 5:01,186540,failed,1774,186540,186540,1200000,30
Save Film Threat and Bring Back DVDuesday,Journalism,4/22/15,125000,3/20/15 0:59,2015,3/20/11 0:59,63725,failed,389,63725,63725,125000,33
The ColorCutter얻_ ShapeShark얻_얻_ (Shape Shark),Design,4/11/15,76842,3/12/15 1:24,2015,3/12/11 1:24,58831,failed,202,58831,58831,76842,30
Dwarven Forge's Modular City Builder Terrain System,Games,4/3/15,100000,3/8/15 15:59,2015,3/8/11 15:59,2359260,successful,2719,2359260,2359260,100000,26
Introducing the Artiphon INSTRUMENT 1,Technology,4/13/15,75000,3/3/15 14:00,2015,3/3/11 14:00,1319672.03,successful,3391,1319672.03,1319672.03,75000,41
2015 CGarchitect Visualization Conference,Design,4/1/15,310000,3/1/15 18:22,2015,3/1/11 18:22,112738,failed,63,112738,112738,310000,31
Zig,FilmVideo,4/1/15,250000,2/27/15 18:01,2015,2/27/11 18:01,122626,failed,250,122626,122626,250000,33
Play With This Too - Lost Protectors,Design,3/30/15,80000,2/27/15 5:20,2015,2/27/11 5:20,71625,failed,406,71625,71625,80000,31
"Sesame. Your key, reinvented.",Technology,4/26/15,100000,2/25/15 19:53,2015,2/25/11 19:53,1428519.56,successful,7493,1428519.56,1428519.56,100000,60
"Pebble Time - Awesome Smartwatch, No Compromises",Design,3/28/15,500000,2/24/15 15:44,2015,2/24/11 15:44,20338986.27,successful,78471,20338986.27,20338986.27,500000,32
Cuberox 얻_얻_얻_ six-screen waterproof linux-powered computer,Technology,3/29/15,150000,2/24/15 15:03,2015,2/24/11 15:03,76521,failed,332,76521,76521,150000,33
Crowfall - Throne War PC MMO,Games,3/26/15,800000,2/24/15 14:00,2015,2/24/11 14:00,1766204.58,successful,16936,1766204.58,1766204.58,800000,30
Fogo Adventure Gadget: GPS+Flashlight+Walkie Talkie+Charger,Technology,3/24/15,125000,2/22/15 22:50,2015,2/22/11 22:50,67349,failed,374,67349,67349,125000,30
CosmicBreak 2,Games,3/15/15,150000,2/13/15 22:01,2015,2/13/11 22:01,71499.77,failed,524,71499.77,71499.77,150000,30
Ghostbusters얻_얻_: The Board Game,Games,3/12/15,250000,2/10/15 8:59,2015,2/10/11 8:59,1546269.5,successful,8396,1546269.5,1546269.5,250000,30
Prynt: the first instant camera case for iPhone and Android,Technology,3/3/15,50000,1/27/15 14:53,2015,1/27/11 14:53,1576011.1,successful,9023,1576011.1,1576011.1,50000,35
Carson Rockin' Rodizio Brazilian BBQ Conversion Kit,Design,3/25/15,200000,1/24/15 4:09,2015,1/24/11 4:09,63163,failed,194,63163,63163,200000,60
Exploding Kittens,Games,2/20/15,10000,1/20/15 19:00,2015,1/20/11 19:00,8782571.99,successful,219382,8782571.99,8782571.99,10000,31
Shadowrun: Hong Kong,Games,2/17/15,100000,1/13/15 18:45,2015,1/13/11 18:45,1204726.47,successful,31497,1204726.47,1204726.47,100000,35
NEEO - The Thinking Remote,Technology,2/12/15,50000,1/13/15 15:32,2015,1/13/11 15:32,1558280,successful,6081,1558280,1558280,50000,30
Conan,Games,2/11/15,80000,1/12/15 18:55,2015,1/12/11 18:55,3327757,successful,16038,3327757,3327757,80000,30
Millers Falls Arts Bridge - the Resurrection of St. John's,Art,2/21/15,100000,1/11/15 15:57,2015,1/11/11 15:57,70873,failed,70,70873,70873,100000,41
Branto: The first smart home with full remote presence,Technology,3/8/15,500000,1/7/15 18:11,2015,1/7/11 18:11,122474,failed,374,122474,122474,500000,60
Other People's Treasure,FilmVideo,2/5/15,300000,1/6/15 6:25,2015,1/6/11 6:25,108466,failed,131,108466,108466,300000,30
"3Doodler 2.0: The World얻_홸s First 3D Printing Pen, Reinvented",Technology,1/25/15,30000,1/5/15 14:56,2015,1/5/11 14:56,1552256.8,successful,10160,1552256.8,1552256.8,30000,20
kraftwerk - highly innovative portable power plant,Design,3/6/15,500000,1/5/15 0:27,2015,1/5/11 0:27,1529561.16,successful,11660,1529561.16,1529561.16,500000,60
Starry Kitchen - #SaveOurBalls ..and our Restaurant!,Food,2/2/15,500000,1/3/15 0:05,2015,1/3/11 0:05,114420,failed,763,114420,114420,500000,30
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,